Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,None,Sudden Drift,Small,Important,Training,26.44057409940241,3.59,False
Linear regression,None,Sudden Drift,Small,Important,Training/Test,27.72674512891729,3.79,False
Linear regression,None,Sudden Drift,Small,Important,Test,35.33309286839687,4.22,False
Linear regression,None,Sudden Drift,Small,Medium,Training,25.12386598837037,3.57,False
Linear regression,None,Sudden Drift,Small,Medium,Training/Test,28.65198629753251,3.9,False
Linear regression,None,Sudden Drift,Small,Medium,Test,32.39755061529581,3.89,False
Linear regression,None,Sudden Drift,Small,Unimportant,Training,23.76528045429796,3.68,False
Linear regression,None,Sudden Drift,Small,Unimportant,Training/Test,24.509309465566325,3.74,False
Linear regression,None,Sudden Drift,Small,Unimportant,Test,133.57245828387775,8.87,False
Linear regression,None,Sudden Drift,Large,Important,Training,33.744849331952246,3.3,False
Linear regression,None,Sudden Drift,Large,Important,Training/Test,44.377128792314586,4.0,False
Linear regression,None,Sudden Drift,Large,Important,Test,272.39151405558835,10.71,False
Linear regression,None,Sudden Drift,Large,Medium,Training,29.781494655302566,3.16,False
Linear regression,None,Sudden Drift,Large,Medium,Training/Test,62.52596287889249,4.74,False
Linear regression,None,Sudden Drift,Large,Medium,Test,81.386239365117,4.76,False
Linear regression,None,Sudden Drift,Large,Unimportant,Training,23.878054300828147,3.53,False
Linear regression,None,Sudden Drift,Large,Unimportant,Training/Test,27.509716408591025,3.64,False
Linear regression,None,Sudden Drift,Large,Unimportant,Test,1856.3717553814208,29.5,False
Linear regression,None,Incremental Drift,Small,Important,Training,26.17926347597965,3.59,False
Linear regression,None,Incremental Drift,Small,Important,Training/Test,36.43611368866804,4.31,False
Linear regression,None,Incremental Drift,Small,Important,Test,34.63373040780246,4.29,False
Linear regression,None,Incremental Drift,Small,Medium,Training,25.59659347087086,3.62,False
Linear regression,None,Incremental Drift,Small,Medium,Training/Test,31.86398966439865,4.13,False
Linear regression,None,Incremental Drift,Small,Medium,Test,29.169322084587307,3.87,False
Linear regression,None,Incremental Drift,Small,Unimportant,Training,24.11303818592699,3.68,False
Linear regression,None,Incremental Drift,Small,Unimportant,Training/Test,53.16048656353391,5.26,False
Linear regression,None,Incremental Drift,Small,Unimportant,Test,141.31018306915072,8.96,False
Linear regression,None,Incremental Drift,Large,Important,Training,35.59611444167834,3.32,False
Linear regression,None,Incremental Drift,Large,Important,Training/Test,69.71656945348161,5.36,False
Linear regression,None,Incremental Drift,Large,Important,Test,171.27109049064322,8.26,False
Linear regression,None,Incremental Drift,Large,Medium,Training,29.752710880696323,3.16,False
Linear regression,None,Incremental Drift,Large,Medium,Training/Test,68.8398426770166,5.2,False
Linear regression,None,Incremental Drift,Large,Medium,Test,69.19471901538165,4.62,False
Linear regression,None,Incremental Drift,Large,Unimportant,Training,24.080789642335525,3.55,False
Linear regression,None,Incremental Drift,Large,Unimportant,Training/Test,36.82427017971203,4.15,False
Linear regression,None,Incremental Drift,Large,Unimportant,Test,1775.2878947495292,27.24,False
Linear regression,None,No Drift,No Drift,No Drift,No Drift,24.306776651181217,3.79,False
Linear regression,None,Sudden Shock,Small,Important,3 days,23.90131356194839,3.78,False
Linear regression,None,Sudden Shock,Large,Important,3 days,24.153437292246867,3.78,False
Linear regression,None,Sudden Shock,Small,Important,7 days,24.88033208837846,3.84,False
Linear regression,None,Sudden Shock,Large,Important,7 days,24.28980461124664,3.78,False
Linear regression,Important,Sudden Drift,Small,Important,Training,49.27732902680143,4.98,True
Linear regression,Important,Sudden Drift,Small,Important,Training/Test,89.76689561443114,6.23,True
Linear regression,Important,Sudden Drift,Small,Important,Test,128.462166500573,7.66,True
Linear regression,Important,Sudden Drift,Small,Medium,Training,25.257199028594176,3.55,False
Linear regression,Important,Sudden Drift,Small,Medium,Training/Test,28.01541608406278,3.85,False
Linear regression,Important,Sudden Drift,Small,Medium,Test,31.460399326076296,3.84,False
