Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,None,Sudden Drift,Small,Important,Training,37.19272568623138,3.39,False
Linear regression,None,Sudden Drift,Small,Important,Training/Test,35.480586540550696,3.31,False
Linear regression,None,Sudden Drift,Small,Important,Test,125.52764273772956,6.35,False
Linear regression,None,Sudden Drift,Small,Medium,Training,34.04637567405482,3.35,False
Linear regression,None,Sudden Drift,Small,Medium,Training/Test,32.29478502160485,3.25,False
Linear regression,None,Sudden Drift,Small,Medium,Test,39.74557817494904,3.64,False
Linear regression,None,Sudden Drift,Small,Unimportant,Training,36.99043410556197,3.62,False
Linear regression,None,Sudden Drift,Small,Unimportant,Training/Test,33.816931155443754,3.44,False
Linear regression,None,Sudden Drift,Small,Unimportant,Test,36.98190504797556,3.66,False
Linear regression,None,Sudden Drift,Large,Important,Training,43.71666406635867,2.98,False
Linear regression,None,Sudden Drift,Large,Important,Training/Test,40.517056089994426,2.8,False
Linear regression,None,Sudden Drift,Large,Important,Test,1548.398879537488,22.85,False
Linear regression,None,Sudden Drift,Large,Medium,Training,38.91233456000915,3.26,False
Linear regression,None,Sudden Drift,Large,Medium,Training/Test,42.46873442774499,3.21,False
Linear regression,None,Sudden Drift,Large,Medium,Test,166.49809607292866,7.84,False
Linear regression,None,Sudden Drift,Large,Unimportant,Training,34.714569954988384,3.38,False
Linear regression,None,Sudden Drift,Large,Unimportant,Training/Test,31.34153349844532,3.18,False
Linear regression,None,Sudden Drift,Large,Unimportant,Test,43.67096669806176,3.69,False
Linear regression,None,Incremental Drift,Small,Important,Training,36.200379412797695,3.33,False
Linear regression,None,Incremental Drift,Small,Important,Training/Test,82.39592358628687,5.06,False
Linear regression,None,Incremental Drift,Small,Important,Test,109.70681541307192,5.9,False
Linear regression,None,Incremental Drift,Small,Medium,Training,34.64683333563182,3.4,False
Linear regression,None,Incremental Drift,Small,Medium,Training/Test,31.63110575932212,3.19,False
Linear regression,None,Incremental Drift,Small,Medium,Test,36.15199165691764,3.49,False
Linear regression,None,Incremental Drift,Small,Unimportant,Training,34.81513298563393,3.5,False
Linear regression,None,Incremental Drift,Small,Unimportant,Training/Test,37.15929782227682,3.49,False
Linear regression,None,Incremental Drift,Small,Unimportant,Test,33.8492153452299,3.47,False
Linear regression,None,Incremental Drift,Large,Important,Training,45.68779690741047,3.06,False
Linear regression,None,Incremental Drift,Large,Important,Training/Test,42.07713761601221,2.88,False
