Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,Switched,MSE,SMAPE,Dropped drifting
Gradient boosted decision tree,None,Sudden Drift,Small,Important,Training,False,51.3949570545622,3.89,False
Gradient boosted decision tree,None,Sudden Drift,Small,Important,Training/Test,False,48.36767803687933,3.82,False
Gradient boosted decision tree,None,Sudden Drift,Small,Important,Test,False,83.63475431058883,5.25,False
Gradient boosted decision tree,None,Sudden Drift,Small,Medium,Training,False,25.694485352317223,2.71,False
Gradient boosted decision tree,None,Sudden Drift,Small,Medium,Training/Test,False,33.529874323298074,3.12,False
Gradient boosted decision tree,None,Sudden Drift,Small,Medium,Test,False,27.81149168208748,2.84,False
Gradient boosted decision tree,None,Sudden Drift,Small,Unimportant,Training,False,23.863495414682124,2.65,False
Gradient boosted decision tree,None,Sudden Drift,Small,Unimportant,Training/Test,False,24.339614358476663,2.69,False
Gradient boosted decision tree,None,Sudden Drift,Small,Unimportant,Test,False,27.412852365580463,2.9,False
Gradient boosted decision tree,None,Sudden Drift,Large,Important,Training,False,360.4934217843752,8.74,False
Gradient boosted decision tree,None,Sudden Drift,Large,Important,Training/Test,False,93.59781671837248,4.15,False
Gradient boosted decision tree,None,Sudden Drift,Large,Important,Test,False,1749.584144690561,24.09,False
Gradient boosted decision tree,None,Sudden Drift,Large,Medium,Training,False,42.58139289234355,3.59,False
Gradient boosted decision tree,None,Sudden Drift,Large,Medium,Training/Test,False,48.35028706298812,3.66,False
Gradient boosted decision tree,None,Sudden Drift,Large,Medium,Test,False,73.30637318377444,4.37,False
Gradient boosted decision tree,None,Sudden Drift,Large,Unimportant,Training,False,23.57853710723152,2.66,False
Gradient boosted decision tree,None,Sudden Drift,Large,Unimportant,Training/Test,False,23.10141903157063,2.6,False
Gradient boosted decision tree,None,Sudden Drift,Large,Unimportant,Test,False,26.46226775318478,2.78,False
Gradient boosted decision tree,None,Incremental Drift,Small,Important,Training,False,57.64105625572649,4.15,False
Gradient boosted decision tree,None,Incremental Drift,Small,Important,Training/Test,False,70.92504510439034,4.81,False
Gradient boosted decision tree,None,Incremental Drift,Small,Important,Test,False,69.73279258152448,4.64,False
Gradient boosted decision tree,None,Incremental Drift,Small,Medium,Training,False,25.648997716256297,2.74,False
Gradient boosted decision tree,None,Incremental Drift,Small,Medium,Training/Test,False,30.21270809859039,3.02,False
Gradient boosted decision tree,None,Incremental Drift,Small,Medium,Test,False,27.682510543005005,2.83,False
Gradient boosted decision tree,None,Incremental Drift,Small,Unimportant,Training,False,25.84731803318526,2.77,False
Gradient boosted decision tree,None,Incremental Drift,Small,Unimportant,Training/Test,False,25.396223801034413,2.72,False
Gradient boosted decision tree,None,Incremental Drift,Small,Unimportant,Test,False,27.24867277002416,2.9,False
