,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,MAPE,SMAPE
0,,Sudden Drift,Small,Important,Fully observed,8.489751463563788,0.011153289076820236,1.1177140528030003
1,,Sudden Drift,Small,Important,Half observed,5.875642319428973,0.00974219642923382,0.9757176121166564
2,,Sudden Drift,Small,Important,Unobserved,9.510332913366817,0.01223175473172746,1.2300383009266014
3,,Sudden Drift,Small,Medium,Fully observed,8.13286373147586,0.012135650542924474,1.2236405449138414
4,,Sudden Drift,Small,Medium,Half observed,8.700700633177442,0.012806986396738303,1.2892396656332703
5,,Sudden Drift,Small,Medium,Unobserved,10.633633861123586,0.013672710079491055,1.3792229929463415
6,,Sudden Drift,Small,Unimportant,Fully observed,8.148309511371087,0.013149466611443148,1.3209825838155658
7,,Sudden Drift,Small,Unimportant,Half observed,10.967547679687598,0.01446725515742605,1.4556271438150346
8,,Sudden Drift,Small,Unimportant,Unobserved,9.902212077735157,0.01418283299746489,1.429005530025944
9,,Sudden Drift,Large,Important,Fully observed,8.629195114205276,0.00753022228698756,0.7547425135607381
10,,Sudden Drift,Large,Important,Half observed,8.340539385304837,0.007727177968062942,0.7754899078531846
11,,Sudden Drift,Large,Important,Unobserved,11.163992097752567,0.009107440893100682,0.9139243922660485
12,,Sudden Drift,Large,Medium,Fully observed,7.002697518733032,0.009138011835955763,0.91604475427291
13,,Sudden Drift,Large,Medium,Half observed,7.813177707461431,0.009734324589439595,0.9777232080178542
14,,Sudden Drift,Large,Medium,Unobserved,8.287328194985776,0.010108106596509143,1.0166551399299095
15,,Sudden Drift,Large,Unimportant,Fully observed,7.907429486071151,0.01242641932788225,1.246179111234217
16,,Sudden Drift,Large,Unimportant,Half observed,10.238373915565388,0.013646805272585176,1.3690880206444174
17,,Sudden Drift,Large,Unimportant,Unobserved,8.765693866808702,0.012290125397362028,1.2379044712684149
18,,Incremental Drift,Small,Important,Fully observed,10.172633392519213,0.014772242747864232,1.4895293636706848
19,,Incremental Drift,Small,Important,Half observed,7.893667600840882,0.013077725469861828,1.310724611360682
20,,Incremental Drift,Small,Important,Unobserved,81.21905083438752,0.023790413564156166,2.4813874088896744
21,,Incremental Drift,Small,Medium,Fully observed,11.248400527224407,0.015864697432177114,1.599128234919097
22,,Incremental Drift,Small,Medium,Half observed,8.915763321218135,0.013726438660594139,1.3812234643459278
23,,Incremental Drift,Small,Medium,Unobserved,27.3843708602761,0.018542431326448627,1.8887729145716574
24,,Incremental Drift,Small,Unimportant,Fully observed,9.858225587641181,0.01490233891446888,1.4979406989591457
25,,Incremental Drift,Small,Unimportant,Half observed,8.389130976656073,0.013440137296164278,1.3506994834879102
26,,Incremental Drift,Small,Unimportant,Unobserved,13.79717647730506,0.015164857146362915,1.532736976623684
27,,Incremental Drift,Large,Important,Fully observed,10.965342104150082,0.015586590491661414,1.5714618192255008
28,,Incremental Drift,Large,Important,Half observed,12.171032002745873,0.01582722880037324,1.5982743203379508
29,,Incremental Drift,Large,Important,Unobserved,1256.040847285879,0.04257734581926057,5.0836615511575225
30,,Incremental Drift,Large,Medium,Fully observed,7.361574517982726,0.012881554026481322,1.2945960582899372
31,,Incremental Drift,Large,Medium,Half observed,7.8800052540550025,0.013123853878859655,1.3227047614678542
32,,Incremental Drift,Large,Medium,Unobserved,328.0978181479824,0.03091383012052614,3.3807920343416904
33,,Incremental Drift,Large,Unimportant,Fully observed,8.662404371787966,0.01351213391135444,1.3599247784838615
34,,Incremental Drift,Large,Unimportant,Half observed,10.129092219568626,0.014411142335408004,1.4547406892364905
35,,Incremental Drift,Large,Unimportant,Unobserved,77.3118949940123,0.019108382778704934,1.9765833404003477
36,,No Drift,No Drift,No Drift,No Drift,8.913250454370258,0.013636941635628985,1.3746759911965962
