,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,MAPE,SMAPE
0,,Sudden Drift,Small,Important,Fully observed,10.616097809861653,0.009489849203012272,0.95
1,,Sudden Drift,Small,Important,Half observed,10.925348568221926,0.009867692524997097,0.99
2,,Sudden Drift,Small,Important,Unobserved,5808.252296733094,0.2648619423032677,30.78
3,,Sudden Drift,Small,Medium,Fully observed,9.681191330067682,0.010967335302790647,1.1
4,,Sudden Drift,Small,Medium,Half observed,12.08427487340403,0.01198182185864544,1.2
5,,Sudden Drift,Small,Medium,Unobserved,2279.871147511122,0.1638243519988466,17.99
6,,Sudden Drift,Small,Unimportant,Fully observed,9.42940981708026,0.012408499954843598,1.24
7,,Sudden Drift,Small,Unimportant,Half observed,10.943267979782256,0.013322140147655193,1.34
8,,Sudden Drift,Small,Unimportant,Unobserved,54.672782398738796,0.03184351619423376,3.25
9,,Sudden Drift,Large,Important,Fully observed,10.280650832417338,0.0049545595349265855,0.5
10,,Sudden Drift,Large,Important,Half observed,11.38932477538683,0.005137557420165854,0.51
11,,Sudden Drift,Large,Important,Unobserved,116430.31184979899,0.6082537167192836,88.43
12,,Sudden Drift,Large,Medium,Fully observed,9.873669198987118,0.0072389566648812225,0.72
13,,Sudden Drift,Large,Medium,Half observed,12.115577985011655,0.00787720555294726,0.79
14,,Sudden Drift,Large,Medium,Unobserved,45273.96001110147,0.45289336886662085,59.59
15,,Sudden Drift,Large,Unimportant,Fully observed,10.207381825586626,0.01141804968157831,1.15
16,,Sudden Drift,Large,Unimportant,Half observed,10.479949738803379,0.011677604876370963,1.17
17,,Sudden Drift,Large,Unimportant,Unobserved,850.8448197294834,0.1239800034311084,13.3
18,,Incremental Drift,Small,Important,Fully observed,10.093902709053738,0.0132334235217996,1.33
19,,Incremental Drift,Small,Important,Half observed,25.29506383707867,0.013843151903513094,1.4
20,,Incremental Drift,Small,Important,Unobserved,24.599083902144297,0.013840003654925409,1.4
21,,Incremental Drift,Small,Medium,Fully observed,9.94866497210713,0.013071662713388296,1.31
22,,Incremental Drift,Small,Medium,Half observed,16.257189446266956,0.013573874987298206,1.36
23,,Incremental Drift,Small,Medium,Unobserved,16.22449801707835,0.013573897733583896,1.37
