,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,MAPE,SMAPE
0,,Sudden Drift,Small,Important,Fully observed,10.661335111987697,0.02295086459102376,2.31
1,,Sudden Drift,Small,Important,Half observed,11.22199504735616,0.023690335541638876,2.38
2,,Sudden Drift,Small,Important,Unobserved,122.3698178498333,0.09080773952324826,9.56
3,,Sudden Drift,Small,Medium,Fully observed,11.018637000346578,0.025958091067435015,2.61
4,,Sudden Drift,Small,Medium,Half observed,11.28274898579541,0.025787179021787603,2.59
5,,Sudden Drift,Small,Medium,Unobserved,26.441111986113377,0.03901151801775047,4.01
6,,Sudden Drift,Small,Unimportant,Fully observed,10.565146520212602,0.025460364243906627,2.55
7,,Sudden Drift,Small,Unimportant,Half observed,11.717087631223777,0.02617320699672961,2.63
8,,Sudden Drift,Small,Unimportant,Unobserved,15.080282605703662,0.029684939356860507,2.98
9,,Sudden Drift,Large,Important,Fully observed,11.798212857203545,0.018956205166305258,1.91
10,,Sudden Drift,Large,Important,Half observed,11.661783800793494,0.018706036558433933,1.88
11,,Sudden Drift,Large,Important,Unobserved,1832.6661780544018,0.2873673921707058,33.65
12,,Sudden Drift,Large,Medium,Fully observed,11.506280719172779,0.024423966402331795,2.45
13,,Sudden Drift,Large,Medium,Half observed,12.176084106244682,0.02476144534767361,2.49
14,,Sudden Drift,Large,Medium,Unobserved,161.99919963392804,0.10276160832390832,10.89
15,,Sudden Drift,Large,Unimportant,Fully observed,10.60344826915381,0.025474251716181937,2.55
16,,Sudden Drift,Large,Unimportant,Half observed,11.446116022330862,0.02552659145789176,2.57
17,,Sudden Drift,Large,Unimportant,Unobserved,31.727936923868143,0.04212340611926529,4.27
18,,Incremental Drift,Small,Important,Fully observed,10.648168653688787,0.025456301245800454,2.56
19,,Incremental Drift,Small,Important,Half observed,11.867217248879422,0.026695352231565224,2.68
20,,Incremental Drift,Small,Important,Unobserved,11.968381057364228,0.0267376493901973,2.69
21,,Incremental Drift,Small,Medium,Fully observed,11.178915487879852,0.02605907803366354,2.62
22,,Incremental Drift,Small,Medium,Half observed,11.097878344883954,0.026062212446984007,2.62
23,,Incremental Drift,Small,Medium,Unobserved,11.091258881663906,0.02605662274729314,2.62
24,,Incremental Drift,Small,Unimportant,Fully observed,11.788527887605776,0.027346816610817268,2.74
25,,Incremental Drift,Small,Unimportant,Half observed,11.090135424747121,0.026052235978018687,2.62
26,,Incremental Drift,Small,Unimportant,Unobserved,11.079825206255196,0.026005353536110193,2.61
27,,Incremental Drift,Large,Important,Fully observed,11.266493601008463,0.025752174733386812,2.58
28,,Incremental Drift,Large,Important,Half observed,29.201720136670886,0.02890165793465587,2.95
29,,Incremental Drift,Large,Important,Unobserved,29.404911806077262,0.028936353998039815,2.95
30,,Incremental Drift,Large,Medium,Fully observed,11.208683386174071,0.026501800183246195,2.66
31,,Incremental Drift,Large,Medium,Half observed,12.185626211748131,0.026818748194038507,2.7
32,,Incremental Drift,Large,Medium,Unobserved,12.237593482472514,0.026834888478950384,2.7
33,,Incremental Drift,Large,Unimportant,Fully observed,10.937664861758082,0.026322230708579343,2.64
34,,Incremental Drift,Large,Unimportant,Half observed,11.153585318482413,0.02618413602772794,2.63
35,,Incremental Drift,Large,Unimportant,Unobserved,11.210283230405325,0.026255691497062243,2.64
36,,No Drift,No Drift,No Drift,No Drift,11.063546908958042,0.0259736531651626,2.61
37,0,Sudden Drift,Small,Important,Fully observed,10.542031234055202,0.02300570153402421,2.31
38,0,Sudden Drift,Small,Important,Half observed,11.468295230208236,0.02403658411089623,2.42
39,0,Sudden Drift,Small,Important,Unobserved,134.89821313107507,0.09585850026249815,10.11
40,0,Sudden Drift,Small,Medium,Fully observed,11.17002235609937,0.025087075726764354,2.52
41,0,Sudden Drift,Small,Medium,Half observed,12.197710684129335,0.02616980267570485,2.64
42,0,Sudden Drift,Small,Medium,Unobserved,24.22285384227542,0.03633437707571335,3.73
43,0,Sudden Drift,Small,Unimportant,Fully observed,11.07113284813127,0.025768947872791194,2.58
44,0,Sudden Drift,Small,Unimportant,Half observed,10.71505630085199,0.025125200725772096,2.53
45,0,Sudden Drift,Small,Unimportant,Unobserved,13.701253880001374,0.028607684385852504,2.86
46,0,Sudden Drift,Large,Important,Fully observed,16.57724016369705,0.020408541632770328,2.05
47,0,Sudden Drift,Large,Important,Half observed,24.63629064018797,0.025720108645393445,2.6
